Chain_step,Chain_id,Content,Original,count
1,1,CI_B,15,5
1,1,CI_M,20,1
1,1,CI_P,6,0
1,1,Emo_Neg,16,5
1,1,Emo_Posi,9,1
1,1,Moral,9,2
1,1,Rational,20,5
1,1,Social_Basic,34,7
1,1,Social_Gossip,11,2
1,1,Survival,22,1
1,2,CI_B,15,4
1,2,CI_M,20,1
1,2,CI_P,6,1
1,2,Emo_Neg,16,5
1,2,Emo_Posi,9,1
1,2,Moral,9,2
1,2,Rational,20,5
1,2,Social_Basic,34,7
1,2,Social_Gossip,11,2
1,2,Survival,22,1
1,3,CI_B,15,7
1,3,CI_M,20,2
1,3,CI_P,6,1
1,3,Emo_Neg,16,2
1,3,Emo_Posi,9,1
1,3,Moral,9,1
1,3,Rational,20,3
1,3,Social_Basic,34,7
1,3,Social_Gossip,11,1
1,3,Survival,22,3
1,4,CI_B,15,7
1,4,CI_M,20,2
1,4,CI_P,6,0
1,4,Emo_Neg,16,3
1,4,Emo_Posi,9,1
1,4,Moral,9,0
1,4,Rational,20,4
1,4,Social_Basic,34,6
1,4,Social_Gossip,11,1
1,4,Survival,22,4
1,5,CI_B,15,5
1,5,CI_M,20,2
1,5,CI_P,6,0
1,5,Emo_Neg,16,4
1,5,Emo_Posi,9,1
1,5,Moral,9,2
1,5,Rational,20,4
1,5,Social_Basic,34,7
1,5,Social_Gossip,11,3
1,5,Survival,22,3
2,1,CI_B,15,2
2,1,CI_M,20,0
2,1,CI_P,6,0
2,1,Emo_Neg,16,1
2,1,Emo_Posi,9,1
2,1,Moral,9,1
2,1,Rational,20,3
2,1,Social_Basic,34,5
2,1,Social_Gossip,11,1
2,1,Survival,22,0
2,2,CI_B,15,4
2,2,CI_M,20,0
2,2,CI_P,6,0
2,2,Emo_Neg,16,2
2,2,Emo_Posi,9,1
2,2,Moral,9,0
2,2,Rational,20,4
2,2,Social_Basic,34,6
2,2,Social_Gossip,11,1
2,2,Survival,22,1
2,3,CI_B,15,3
2,3,CI_M,20,3
2,3,CI_P,6,1
2,3,Emo_Neg,16,2
2,3,Emo_Posi,9,1
2,3,Moral,9,0
2,3,Rational,20,2
2,3,Social_Basic,34,6
2,3,Social_Gossip,11,1
2,3,Survival,22,2
2,4,CI_B,15,4
2,4,CI_M,20,0
2,4,CI_P,6,0
2,4,Emo_Neg,16,2
2,4,Emo_Posi,9,1
2,4,Moral,9,0
2,4,Rational,20,5
2,4,Social_Basic,34,4
2,4,Social_Gossip,11,1
2,4,Survival,22,2
2,5,CI_B,15,6
2,5,CI_M,20,0
2,5,CI_P,6,0
2,5,Emo_Neg,16,3
2,5,Emo_Posi,9,1
2,5,Moral,9,0
2,5,Rational,20,3
2,5,Social_Basic,34,5
2,5,Social_Gossip,11,1
2,5,Survival,22,2
3,1,CI_B,15,2
3,1,CI_M,20,0
3,1,CI_P,6,0
3,1,Emo_Neg,16,1
3,1,Emo_Posi,9,1
3,1,Moral,9,0
3,1,Rational,20,3
3,1,Social_Basic,34,5
3,1,Social_Gossip,11,0
3,1,Survival,22,0
3,2,CI_B,15,3
3,2,CI_M,20,0
3,2,CI_P,6,0
3,2,Emo_Neg,16,1
3,2,Emo_Posi,9,1
3,2,Moral,9,0
3,2,Rational,20,4
3,2,Social_Basic,34,4
3,2,Social_Gossip,11,0
3,2,Survival,22,0
3,3,CI_B,15,3
3,3,CI_M,20,0
3,3,CI_P,6,0
3,3,Emo_Neg,16,2
3,3,Emo_Posi,9,1
3,3,Moral,9,0
3,3,Rational,20,2
3,3,Social_Basic,34,4
3,3,Social_Gossip,11,1
3,3,Survival,22,1
3,4,CI_B,15,4
3,4,CI_M,20,0
3,4,CI_P,6,0
3,4,Emo_Neg,16,1
3,4,Emo_Posi,9,1
3,4,Moral,9,0
3,4,Rational,20,4
3,4,Social_Basic,34,4
3,4,Social_Gossip,11,0
3,4,Survival,22,1
3,5,CI_B,15,3
3,5,CI_M,20,0
3,5,CI_P,6,0
3,5,Emo_Neg,16,1
3,5,Emo_Posi,9,1
3,5,Moral,9,0
3,5,Rational,20,3
3,5,Social_Basic,34,4
3,5,Social_Gossip,11,0
3,5,Survival,22,1
